ano,id_municipio,avg_wage_dec,n_employ_dec
2015,5207402,1742.841605,3519
2015,5209903,1352.688159,1150
2015,5210802,1000.178579,852
2015,5213756,1052.492863,2585
2015,5217609,1440.120463,7129
2021,5220108,1403.473063,7396
2021,5217302,1277.14723,4099
2021,5210000,1381.086537,11068
2021,5221858,1426.284308,18903
2021,5201801,1430.386796,1132
2021,5210307,1483.624636,355
2021,5221304,1540.773951,475
2021,5214804,1648.643091,255
2021,2600500,2366.824123,1937
2021,2616407,1695.434429,25858
2021,2608008,2418.765067,1041
2021,2609204,1148.338925,577
2021,2608305,1397.029328,1306
2021,2608701,2207.865777,559
2022,2603405,1375.62031,503
2022,2603702,1096.265724,2383
2022,2603207,1723.739769,1243
2022,2607208,2391.009172,37330
2022,2611705,1746.508386,1471
2022,2616183,1512.103765,588
2017,2903904,1365.05532,7746
2017,2914604,1279.888208,10948
2017,2912905,1083.597029,1673
2017,2911105,1277.427636,4427
2017,2915106,1213.726816,702
2017,2923308,1461.734193,445
2017,2911303,1141.060198,591
2017,2929008,1347.396523,1249
2017,2930758,1036.671889,787
2017,2933174,1165.927134,508
2017,2928307,1733.118047,392
2017,2930907,1156.612393,807
2017,2930766,1415.123372,632
2017,2903235,1464.007552,695
2014,4202859,1588.033286,1471
2014,4211058,673.1593353,2005
2014,4217758,1255.538938,362
2014,4219358,1131.886633,966
2019,2925303,1356.928281,32435
2019,2926400,1411.564561,1484
2019,2912905,1558.100212,1873
2019,2921104,1267.50877,3048
2019,2907558,1184.091299,59
2019,2903953,1426.167471,451
2019,2932408,1663.748541,588
2015,2901957,1469.389756,410
2015,2904803,808.0275687,908
2015,2906824,1397.269087,682
2015,2910404,1076.745698,1663
2015,2910859,1328.782475,956
2015,2911105,1058.922651,4649
2015,2914604,1109.508589,10618
2015,2917904,1085.961935,639
2015,2918753,1259.152488,746
2015,2921401,1052.568059,930
2015,2925303,966.8506737,28159
2015,2925501,840.5076274,3401
2015,2927002,1075.097362,2877
2015,2929602,820.123295,1434
2015,2929750,1057.405567,842
2015,2930808,1919.148317,602
2021,2915809,1999.86468,2664
2021,2910859,1896.321419,1281
2021,2911709,1667.325171,13062
2021,2900405,2332.292796,1044
2021,2930105,1598.814,7989
2021,2906907,1533.600262,2303
2021,2931103,1549.627327,604
2021,2900801,1504.056799,1665
2021,2902807,1641.437912,1754
2021,2921906,1518.257969,3286
2021,2901155,7308.195632,613
2021,2921203,1748.853363,1872
2021,2927309,1674.116456,821
2021,2919603,1564.596194,542
2021,2915007,1181.791153,499
2021,2929354,1396.877406,630
2021,2913002,1909.687019,426
2021,2930766,1738.738846,631
2021,2913309,2458.53582,463
2021,2911253,1578.013436,369
2018,2919959,996.1032078,442
2018,2906600,1620.079035,598
2018,2906006,1775.951482,4328
2018,2913200,1478.565304,2427
2018,2910701,1762.172813,3773
2018,2912707,2005.076004,1279
2018,2925907,1876.041736,1018
2018,2901205,1433.882367,1228
2018,2914406,2393.887723,1210
2018,2901353,2198.366641,1916
2018,2907707,1666.432442,473
2018,2911303,1283.580028,618
2018,2914307,1394.487529,516
2018,2900900,1505.321965,412
2018,2907400,1377.317156,364
2018,2930600,1270.882853,909
2018,2920700,1161.090511,1787
2018,2925931,1384.22454,578
2020,2932200,1328.929875,1868
2020,2913606,1769.687052,29405
2020,2922300,1352.852989,2364
2020,2919157,1491.211568,1359
2020,2932101,959.6198298,2524
2020,2903805,1886.791007,876
2020,2917706,2780.197159,3777
2020,2902104,2130.376399,2622
2020,2926905,1541.423643,641
2020,2917805,1682.247479,945
2020,2913507,1347.795453,1348
2020,2904209,1367.906364,108
2022,5203807,1611.748584,1195
2022,5214838,1743.514425,3085
2022,5201702,1330.149233,1824
2022,5213509,1665.296635,678
2022,5214002,1856.740258,4198
