ano,id_municipio,avg_wage_dec,n_employ_dec,pop,nome,treated_group,treated_after_treatment
2019,3162203.0,1228.145785,1293,"7,541",São João Batista do Glória,0,0
2019,3135902.0,1045.178377,649,"4,774",Jesuânia,0,0
2019,3146909.0,1081.237654,3304,"15,922",Papagaios,1,1
2019,3131208.0,1242.16835,2175,"20,133",Ipanema,0,0
2019,3131000.0,1425.624915,1078,"6,352",Inhaúma,0,0
2019,3155306.0,1161.39993,588,"5,924",Rio Manso,0,0
2019,3145505.0,1303.8886,387,"2,829",Olímpio Noronha,0,0
2019,3167905.0,1089.706614,529,"3,669",Tabuleiro,0,0
2019,3152600.0,1247.355472,1647,"5,862",Pouso Alto,0,0
2019,3145604.0,1206.046846,9256,"41,987",Oliveira,0,0
2019,3169000.0,1283.831759,2773,"16,769",Tocantins,0,0
2019,3163904.0,1304.19634,565,"4,563",São Pedro da União,0,0
2019,3133808.0,1537.574311,25870,"94,455",Itaúna,0,0
2019,3102308.0,1450.83309,2384,"15,135",Alvinópolis,0,0
2019,3138203.0,1898.857383,25788,"105,756",Lavras,0,0
2019,3124104.0,1448.33014,6651,"72,512",Esmeraldas,1,1
2019,3145901.0,2267.202142,12491,"40,220",Ouro Branco,0,0
2019,3136652.0,1897.866165,6347,"27,823",Juatuba,1,1
2019,3114709.0,1420.735725,395,"3,614",Carvalhópolis,0,0
2019,3115904.0,1316.719844,371,"3,216",Chácara,0,0
2019,3100203.0,1066.828069,4186,"23,263",Abaeté,0,0
2019,3135100.0,1215.964092,11501,"72,374",Janaúba,0,0
2019,3154200.0,1324.752565,1342,"11,578",Resende Costa,0,0
2019,3154804.0,1788.355397,1489,"10,524",Rio Acima,0,0
2019,3165404.0,1309.502146,1388,"7,045",Sapucaí-Mirim,0,0
2019,3126000.0,1219.307225,1369,"7,602",Florestal,1,1
2019,3139706.0,1092.536843,1428,"8,113",Maravilhas,1,1
2019,3152006.0,1393.987694,5644,"32,248",Pompéu,1,1
2019,3164308.0,1290.758046,1362,"7,100",São Roque de Minas,0,0
2019,3152709.0,1077.466036,1721,"9,128",Prados,0,0
2019,3147105.0,1338.016871,28338,"95,616",Pará de Minas,1,1
2019,3165537.0,1725.638934,7687,"34,050",Sarzedo,0,0
2019,3110509.0,1335.865261,5731,"21,831",Camanducaia,0,0
2019,3162005.0,1189.122298,4938,"25,670",São Gonçalo do Sapucaí,0,0
2019,3139003.0,1222.232383,8992,"42,682",Machado,0,0
2019,3126406.0,1350.261577,442,"2,986",Fortuna de Minas,1,1
2019,3125200.0,1278.305127,246,"2,374",Fama,0,0
2019,3122900.0,1063.186135,879,"6,664",Dona Euzébia,0,0
2019,3138302.0,1463.823836,483,"3,222",Leandro Ferreira,0,0
2019,3129905.0,1324.542063,372,"3,497",Ibitiúra de Minas,0,0
2019,3138401.0,1297.71355,10692,"52,690",Leopoldina,0,0
2019,3121605.0,2697.004256,9308,"47,924",Diamantina,0,0
2019,3106002.0,1795.655424,1250,"10,269",Bela Vista de Minas,0,0
2019,3123601.0,1208.593242,5344,"28,556",Elói Mendes,0,0
2019,3158953.0,1331.734039,5394,"36,048",Santana do Paraíso,0,0
2019,3149606.0,1293.240977,534,"4,457",Pequi,1,1
2019,3114303.0,1306.107377,5634,"30,339",Carmo do Paranaíba,0,0
2019,3106101.0,1445.042388,657,"3,422",Belmiro Braga,0,0
2019,3110301.0,1700.091489,1938,"14,600",Caldas,0,0
2019,3137809.0,1262.788651,2882,"20,995",Lambari,0,0
2019,3163102.0,1234.211059,681,"5,151",São José da Varginha,1,1
2019,3147402.0,1633.22598,7678,"24,854",Paraopeba,1,1
2019,3140159.0,1075.078322,1449,"15,814",Mário Campos,1,1
2019,3138708.0,894.8274866,806,"5,431",Luminárias,0,0
2019,3164407.0,1309.346068,1627,"5,598",São Sebastião da Bela Vista,0,0
2019,3164704.0,1270.610659,17427,"71,915",São Sebastião do Paraíso,0,0
2019,3142205.0,1320.713613,2424,"15,205",Miraí,0,0
2019,3101607.0,1785.170432,21455,"80,973",Alfenas,0,0
2019,3107406.0,1257.398238,11556,"51,436",Bom Despacho,0,0
2018,3130002.0,1177.463822,338,"3,003",Ibituruna,0,0
2018,3163102.0,1140.303653,711,"5,151",São José da Varginha,1,0
2018,3113305.0,1200.636361,5232,"33,022",Carangola,0,0
