Ano,Codigo do Municipio,Nome do Municipio,Nome da Unidade da Federacao,Valor adicionado bruto da Agropecuaria (1000),Valor adicionado bruto da Industria (1000),Valor adicionado bruto dos Serviços (1000),Valor adicionado bruto da Adm (1000),Valor adicionado bruto total (1000),"Impostos, liq de Subsidios, sobre produtos (1000)",PIB (1000),PIB per Capita (1)
2015,3121605,Diamantina,Minas Gerais,33409.254,53025.312,368146.613,168228.715,622809.895,43850.169,666660.063,13902.65
2015,3121704,Diogo de Vasconcelos,Minas Gerais,3874.337,1296.518,7454.029,16214.124,28839.008,963.747,29802.756,7596.93
2015,3121803,Dionísio,Minas Gerais,8845.908,4349.498,23472.644,27487.897,64155.947,1928.01,66083.958,7808.57
2015,3121902,Divinésia,Minas Gerais,4592.148,4936.658,9958.93,14627.763,34115.499,1232.455,35347.954,10284.54
2015,3122009,Divino,Minas Gerais,42526.239,11439.46,91963.285,67869.397,213798.38,13144.003,226942.383,11340.31
2015,3122108,Divino das Laranjeiras,Minas Gerais,6466.253,2660.612,11836.971,20185.882,41149.718,1096.517,42246.235,8312.92
2015,3122207,Divinolândia de Minas,Minas Gerais,6750.992,1463.908,14978.141,27027.337,50220.377,1351.763,51572.14,6902.05
2015,3122306,Divinópolis,Minas Gerais,50626.568,1073805.405,2907883.238,831823.929,4864139.14,619624.152,5483763.291,23754.87
2015,3122355,Divisa Alegre,Minas Gerais,3343.871,14306.181,18289.018,26490.771,62429.841,6248.353,68678.193,10601.76
2015,3122405,Divisa Nova,Minas Gerais,17872.26,4176.611,25698.586,22954.163,70701.62,3411.394,74113.014,12288.68
2015,3122454,Divisópolis,Minas Gerais,5330.872,3203.132,13532.687,34660.519,56727.21,1164.029,57891.239,5670.61
2015,3122470,Dom Bosco,Minas Gerais,13375.986,1653.166,13040.086,15504.852,43574.089,2218.855,45792.944,11912.84
2015,3122504,Dom Cavati,Minas Gerais,2043.82,2450.628,20877.119,20590.042,45961.609,2215.693,48177.302,9134.87
