,NOME_MUN,COD_MUN,ANO,COD_UF,NOME_UF,VA_AGRO,VA_IND,VA_SERV,VA_ADM,VA_TOT,IMPOSTOS_INDIRETOS_LIQ_SUBSIDIOS,PIB,PIB_PER_CAPITA,POP,POP_RURAL,PROPORCAO_DA_POP_RURAL,VA_AGRO_PER_CAPITA,VA_IND_PER_CAPITA,VA_SERV_PER_CAPITA,VA_ADM_PER_CAPITA,VA_TOT_PER_CAPITA,IMPOSTOS_INDIRETOS_LIQ_SUBSIDIOS_PER_CAPITA,VA_AGRO_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,EXP_VIDA_AO_NASCER,MORTALIDADE_INFANTIL,IDHM,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDU,REND_MEDIO_FORMAL,TRANSF_PER_CAPITA_BOLSA_FAMILIA,GINI,TAXA_ALFAB,PROP_MENOS_DE_1_SM,PROP_1_A_2_SM,PROP_2_A_5_SM,PROP_5_A_10_SM,PROP_MAIS_DE_10_SM,SIGLA_UF,REMUNERACAO_DEZEMBRO,REMUNERACAO_MEDIA,VINCULOS_ATIVOS,VINCULOS_CLT,VINCULOS_ESTATUTARIOS,NUM_FIRMAS
181,Pouso Alegre,3152501,2022,31,Minas Gerais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MG,3135.49419871564,3489.7982349800373,58339.0,54222.0,4117.0,7788.0
182,Pouso Alegre,3152501,2023,31,Minas Gerais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MG,3416.399465115091,2807.113314324028,61046.0,56986.0,4060.0,10701.0
183,Pouso Alegre,3152501,2024,31,Minas Gerais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MG,3290.4497855041213,2664.5831433143608,,,,
184,Belo Oriente,3106309,2002,31,Minas Gerais,9631.544,251976.93,72575.131,29856.849,364040.454,64313.732,428354.186,21080.42,20105.0,,,0.4790621238497886,12.533047998010446,3.6098050733648335,1.485045958716737,18.106961153941807,3.198892414822184,0.026457345314705,0.6921673875288595,0.1993600716693974,0.0820151954870378,,,,,,,,,,,,,,,,MG,1091.0320936148576,998.6550200343436,3976.0,2683.0,1293.0,547.0
185,Belo Oriente,3106309,2003,31,Minas Gerais,11775.685,344554.169,102714.556,34436.931,493481.34,51961.421,545442.761,26431.61,20378.0,,,0.5778626459907743,16.908144518598487,5.040463048385513,1.6899073019923443,24.216377465894592,2.549878349200118,0.0238624726924831,0.698211140060534,0.2081427354477071,0.0697836538256947,,,,,,,,,,,,,,,,MG,1029.501372549017,1418.8061933206577,5529.0,4170.0,1359.0,562.0
186,Belo Oriente,3106309,2004,31,Minas Gerais,9129.52,362825.936,93060.487,35700.599,500716.543,52945.471,553662.014,26425.26,20952.0,,,0.4357350133638794,17.317007254677357,4.441603999618175,1.7039232054219169,23.89826952080947,2.5269888793432607,0.0182329106709781,0.7246134386256936,0.1858546283340992,0.071299020372091,,,,,,,,,,,,,,,,MG,1109.3744637168095,951.4693493191944,4957.0,4139.0,818.0,577.0
187,Belo Oriente,3106309,2005,31,Minas Gerais,14622.587,382719.061,94401.356,39797.865,531540.868,48455.636,579996.504,27269.57,21269.0,,,0.6875070290093563,17.99421980346984,4.438448258028116,1.8711676618552824,24.991342705345808,2.2782282194743524,0.0275098075807785,0.7200181285025857,0.1775994315454969,0.0748726342524616,,,,,,,,,,,,,,,,MG,1222.209906031094,1072.7784168865471,5980.0,4665.0,1315.0,580.0
188,Belo Oriente,3106309,2006,31,Minas Gerais,10222.15,354272.406,102935.199,45612.605,513042.36,53025.087,566067.447,26226.25,21584.0,,,0.4735984988880652,16.413658543365457,4.769051102668644,2.113260053743514,23.76956819866568,2.456684905485545,0.0199245730898321,0.6905324659741547,0.2006368421508118,0.0889061187852013,,,,,,,,,,,,,,,,MG,1313.0279265345594,1159.7163656520884,6243.0,5016.0,1227.0,614.0
189,Belo Oriente,3106309,2007,31,Minas Gerais,5421.287,595514.035,116117.594,47728.409,764781.325,64911.985,829693.309,38826.96,,,,,,,,,,0.0070886759689117,0.7786723021773578,0.1518311054470374,0.0624079164066931,,,,,,,,,,,,,,,,MG,1326.3096291560107,1246.4599310060723,6157.0,5117.0,1040.0,636.0
190,Belo Oriente,3106309,2008,31,Minas Gerais,4616.091,419319.949,119420.732,59232.133,602588.905,69761.72,672350.625,30165.13,22289.0,,,0.2071017542285432,18.81286504553816,5.357832652878101,2.657460316748172,27.035259769392976,3.129872134236619,0.0076604314511897,0.6958640385189303,0.1981794404263052,0.0982960896035747,,,,,,,,,,,,,,,,MG,1482.026279106606,1323.491292338052,5992.0,4979.0,1013.0,662.0
