ANO,COD_UF,NOME_UF,COD_MUN,NOME_MUN,VA_AGRO,VA_IND,VA_SERV,VA_ADM,VA_TOT,IMPOSTOS_INDIRETOS_LIQ_SUBSIDIOS,PIB,PIB_PER_CAPITA
2002,31,Minas Gerais,3108206,Bonfinópolis de Minas,13366.419,1751.173,10085.081,6804.315,32006.989,1491.13,33498.119,5329.85
2002,31,Minas Gerais,3108255,Bonito de Minas,1374.829,243.84,1863.232,6969.715,10451.616,294.113,10745.729,1347.93
2002,31,Minas Gerais,3108305,Borda da Mata,4679.45,9176.83,25919.108,14312.877,54088.264,4769.438,58857.703,3879.62
2002,31,Minas Gerais,3108404,Botelhos,18890.117,4108.757,20869.912,14280.675,58149.461,3551.102,61700.564,4020.63
2002,31,Minas Gerais,3108503,Botumirim,2239.055,312.403,2291.038,5937.445,10779.941,339.157,11119.097,1654.38
2002,31,Minas Gerais,3108552,Brasilândia de Minas,6835.032,16803.149,13600.881,10570.333,47809.395,5007.46,52816.855,4498.5
2002,31,Minas Gerais,3108602,Brasília de Minas,4802.538,3046.195,22463.78,25040.668,55353.18,2828.993,58182.173,1911.56
2002,31,Minas Gerais,3108701,Brás Pires,1793.94,444.706,2800.811,5636.452,10675.909,317.971,10993.879,2244.56
2002,31,Minas Gerais,3108800,Braúnas,1750.509,43640.649,3127.75,5500.165,54019.073,391.167,54410.24,10689.63
2002,31,Minas Gerais,3108909,Brazópolis,5816.981,6440.085,24503.953,13953.397,50714.416,7179.682,57894.098,3715.21
2002,31,Minas Gerais,3109006,Brumadinho,6240.11,95619.677,70321.024,32634.504,204815.315,13421.377,218236.692,7600.89
2002,31,Minas Gerais,3109105,Bueno Brandão,5044.32,2308.178,13496.003,10222.64,31071.141,2042.708,33113.849,3017.48
2002,31,Minas Gerais,3109204,Buenópolis,5571.607,1284.664,8966.648,10909.469,26732.389,1343.626,28076.015,2675.94
2002,31,Minas Gerais,3109253,Bugre,914.738,240.012,1513.267,3650.39,6318.408,157.01,6475.417,1682.8
2002,31,Minas Gerais,3109303,Buritis,45876.254,7402.229,33542.17,22004.209,108824.861,4802.046,113626.907,5420.1
2002,31,Minas Gerais,3109402,Buritizeiro,24311.701,3254.24,16355.684,22647.173,66568.798,7052.256,73621.054,2797.79
2002,31,Minas Gerais,3109451,Cabeceira Grande,13965.762,1621.422,6791.809,6225.119,28604.112,1334.192,29938.304,4865.64
2002,31,Minas Gerais,3109501,Cabo Verde,15797.52,2470.073,14407.463,13426.992,46102.048,1923.911,48025.959,3391.9
2002,31,Minas Gerais,3109600,Cachoeira da Prata,592.137,6309.74,9504.872,4645.275,21052.025,2199.342,23251.367,6093.13
2002,31,Minas Gerais,3109709,Cachoeira de Minas,8433.918,1856.119,8786.179,9918.571,28994.787,1823.113,30817.9,2825.0
2002,31,Minas Gerais,3109808,Cachoeira Dourada,4832.867,1487.968,5029.102,6316.13,17666.066,769.37,18435.436,7977.26
2002,31,Minas Gerais,3109907,Caetanópolis,4708.324,16254.993,16548.395,9037.972,46549.684,4803.343,51353.027,5766.12
2002,31,Minas Gerais,3110004,Caeté,3635.629,9892.978,56672.133,37726.348,107927.087,11343.524,119270.612,3208.44
2002,31,Minas Gerais,3110103,Caiana,1996.845,579.493,2622.363,4787.646,9986.347,278.736,10265.083,2384.46
2002,31,Minas Gerais,3110202,Cajuri,1874.438,440.195,2345.458,4843.514,9503.605,303.867,9807.471,2267.62
2002,31,Minas Gerais,3110301,Caldas,11504.91,8195.441,18978.739,11590.829,50269.919,3662.303,53932.222,4187.61
2002,31,Minas Gerais,3110400,Camacho,2322.164,661.901,2479.398,4023.664,9487.127,329.792,9816.919,2843.84
2002,31,Minas Gerais,3110509,Camanducaia,7840.011,25510.46,42318.488,20329.172,95998.131,12432.638,108430.769,5025.99
2002,31,Minas Gerais,3110608,Cambuí,5386.697,34937.086,56502.73,24236.128,121062.641,24281.871,145344.512,5972.65
2002,31,Minas Gerais,3110707,Cambuquira,15964.407,3084.331,23571.547,11789.623,54409.908,4253.262,58663.17,4570.92
2002,31,Minas Gerais,3110806,Campanário,1711.151,765.937,3736.845,4568.611,10782.543,764.516,11547.059,3312.41
2002,31,Minas Gerais,3110905,Campanha,12520.848,8328.454,28478.935,14514.56,63842.797,4175.456,68018.254,4650.5
2002,31,Minas Gerais,3111002,Campestre,29111.131,6563.36,28547.424,19497.803,83719.718,5290.73,89010.447,4150.25
2002,31,Minas Gerais,3111101,Campina Verde,29958.202,14351.734,44077.391,18297.767,106685.094,11677.498,118362.592,6289.53
2002,31,Minas Gerais,3111150,Campo Azul,1408.378,220.277,1436.964,3788.289,6853.907,195.072,7048.979,1932.29
2002,31,Minas Gerais,3111200,Campo Belo,13764.923,33797.798,105295.696,44066.947,196925.365,21247.303,218172.668,4318.11
2002,31,Minas Gerais,3111309,Campo do Meio,8031.6,1812.911,10854.216,12392.916,33091.643,1526.969,34618.611,2985.65
2002,31,Minas Gerais,3111408,Campo Florido,30164.318,12353.097,14966.235,6422.646,63906.297,3856.754,67763.051,12187.6
2002,31,Minas Gerais,3111507,Campos Altos,27777.93,4204.225,25550.91,14238.915,71771.98,4034.025,75806.004,5695.85
2002,31,Minas Gerais,3111606,Campos Gerais,38473.935,7223.317,35775.923,26954.679,108427.854,4149.923,112577.777,4125.84
2002,31,Minas Gerais,3111705,Canaã,3408.694,495.467,2569.681,5169.135,11642.977,345.667,11988.644,2600.57
2002,31,Minas Gerais,3111804,Canápolis,37353.914,17101.886,28676.351,10972.018,94104.169,8078.883,102183.052,11236.32
2002,31,Minas Gerais,3111903,Cana Verde,5353.45,1118.719,5671.119,5850.71,17993.998,719.824,18713.822,3293.53
2002,31,Minas Gerais,3112000,Candeias,10082.888,3718.511,16916.566,14491.622,45209.587,2813.359,48022.946,3265.53
2002,31,Minas Gerais,3112059,Cantagalo,1570.145,399.411,2069.272,4155.168,8193.996,266.005,8460.001,2159.82
2002,31,Minas Gerais,3112109,Caparaó,2283.796,549.991,3803.73,5807.75,12445.267,462.005,12907.272,2477.88
2002,31,Minas Gerais,3112208,Capela Nova,723.765,376.874,3228.128,5179.059,9507.826,514.298,10022.123,2039.92
2002,31,Minas Gerais,3112307,Capelinha,11501.697,4982.475,30077.484,27927.653,74489.309,5896.798,80386.107,2446.4
2002,31,Minas Gerais,3112406,Capetinga,6518.172,4585.839,8066.666,7595.951,26766.628,1801.124,28567.752,3829.46
2002,31,Minas Gerais,3112505,Capim Branco,1465.048,3895.441,7061.966,7510.494,19932.948,1676.544,21609.492,2588.89
2002,31,Minas Gerais,3112604,Capinópolis,20575.339,13411.436,40458.965,17152.969,91598.708,10894.232,102492.941,7210.7
2002,31,Minas Gerais,3112653,Capitão Andrade,1209.526,346.601,2740.299,4746.852,9043.278,392.7,9435.978,2218.66
2002,31,Minas Gerais,3112703,Capitão Enéas,5637.706,35311.0,12219.434,13615.071,66783.21,13845.711,80628.922,5968.09
2002,31,Minas Gerais,3112802,Capitólio,7133.364,3602.773,15492.074,8592.697,34820.907,3175.776,37996.683,4749.59
2002,31,Minas Gerais,3112901,Caputira,4811.718,1049.437,4900.819,8468.22,19230.192,666.848,19897.041,2180.74
2002,31,Minas Gerais,3113008,Caraí,4556.391,1248.555,7318.696,19009.68,32133.322,1025.635,33158.956,1597.87
2002,31,Minas Gerais,3113107,Caranaíba,1053.4,272.933,1851.321,4053.218,7230.871,184.595,7415.466,2129.05
2002,31,Minas Gerais,3113206,Carandaí,14450.779,42682.102,35953.776,21610.315,114696.972,15271.794,129968.766,5990.45
2002,31,Minas Gerais,3113305,Carangola,4007.907,7974.008,58349.816,31466.571,101798.302,10783.308,112581.61,3498.6
2002,31,Minas Gerais,3113404,Caratinga,15988.18,40437.908,172292.374,71881.968,300600.43,25959.668,326560.098,4098.86
2002,31,Minas Gerais,3113503,Carbonita,2031.879,773.006,7314.777,8786.683,18906.346,1308.659,20215.004,2199.91
2002,31,Minas Gerais,3113602,Careaçu,3573.101,2034.956,8141.311,5994.479,19743.847,1499.644,21243.491,3602.42
2002,31,Minas Gerais,3113701,Carlos Chagas,17867.432,8420.348,26003.68,21318.579,73610.039,5592.03,79202.068,3662.86
2002,31,Minas Gerais,3113800,Carmésia,747.247,365.568,2389.924,3501.496,7004.234,256.998,7261.233,3231.52
2002,31,Minas Gerais,3113909,Carmo da Cachoeira,18482.44,2883.324,17262.533,11837.198,50465.494,2838.674,53304.169,4449.8
2002,31,Minas Gerais,3114006,Carmo da Mata,4524.815,5910.297,13847.482,11206.034,35488.628,2873.608,38362.237,3671.38
2002,31,Minas Gerais,3114105,Carmo de Minas,10210.455,2435.377,16374.305,11981.175,41001.312,2537.738,43539.05,3373.81
2002,31,Minas Gerais,3114204,Carmo do Cajuru,8153.253,16675.032,24036.801,18680.31,67545.396,7496.319,75041.714,4181.76
2002,31,Minas Gerais,3114303,Carmo do Paranaíba,30277.482,7198.496,53778.093,28925.208,120179.28,8349.324,128528.604,4275.17
2002,31,Minas Gerais,3114402,Carmo do Rio Claro,23918.34,4518.645,31089.426,19572.224,79098.636,3804.384,82903.02,4067.46
2002,31,Minas Gerais,3114501,Carmópolis de Minas,7203.313,7084.694,19376.065,13809.383,47473.455,6113.204,53586.66,3682.17
2002,31,Minas Gerais,3114550,Carneirinho,23639.361,6744.363,14423.76,13595.037,58402.521,2770.705,61173.226,7069.6
