ANO,NOME_MUN,GINI
2010,Patrocínio do Muriaé,0.4936
2010,Paula Cândido,0.4828
2010,Paulistas,0.5212
2010,Pavão,0.5296
2010,Peçanha,0.5304
2010,Pedra Azul,0.5473
2010,Pedra Bonita,0.5082
2010,Pedra do Anta,0.5486
2010,Pedra do Indaiá,0.417
2010,Pedra Dourada,0.5455
2010,Pedralva,0.5591
2010,Pedras de Maria da Cruz,0.4679
2010,Pedrinópolis,0.4861
2010,Pedro Leopoldo,0.4761
2010,Pedro Teixeira,0.4185
2010,Pequeri,0.443
2010,Pequi,0.4329
2010,Perdigão,0.3521
2010,Perdizes,0.5539
2010,Perdões,0.5421
2010,Periquito,0.4407
2010,Pescador,0.5331
2010,Piau,0.4228
2010,Piedade de Caratinga,0.4673
2010,Piedade de Ponte Nova,0.3874
2010,Piedade do Rio Grande,0.4664
2010,Piedade dos Gerais,0.4856
2010,Pimenta,0.4547
2010,Pingo-d'Água,0.4411
2010,Pintópolis,0.5477
2010,Piracema,0.4425
2010,Pirajuba,0.5324
2010,Piranga,0.5215
2010,Piranguçu,0.4668
2010,Piranguinho,0.4333
2010,Pirapetinga,0.4774
2010,Pirapora,0.5515
2010,Piraúba,0.3714
2010,Pitangui,0.4795
2010,Piumhi,0.4741
2010,Planura,0.4409
2010,Poço Fundo,0.4505
2010,Poços de Caldas,0.5056
2010,Pocrane,0.4667
2010,Pompéu,0.5352
2010,Ponte Nova,0.5173
2010,Ponto Chique,0.4594
2010,Ponto dos Volantes,0.5371
2010,Porteirinha,0.5106
2010,Porto Firme,0.4663
2010,Poté,0.4834
2010,Pouso Alegre,0.4917
2010,Pouso Alto,0.6336
2010,Prados,0.4834
2010,Prata,0.5155
2010,Pratápolis,0.45
2010,Pratinha,0.5571
2010,Presidente Bernardes,0.4652
2010,Presidente Juscelino,0.4133
2010,Presidente Kubitschek,0.4664
2010,Presidente Olegário,0.4574
2010,Prudente de Morais,0.4285
2010,Quartel Geral,0.4738
2010,Queluzito,0.4657
2010,Raposos,0.5235
2010,Raul Soares,0.5153
2010,Recreio,0.4779
2010,Reduto,0.5262
2010,Resende Costa,0.4852
