NOME_MUN,TAXA_ALFAB,ANO
Morada Nova de Minas,91.5,2010
Morro da Garça,90.5,2010
Morro do Pilar,77.5,2010
Munhoz,90.6,2010
Muriaé,92.9,2010
Mutum,83.6,2010
Muzambinho,94.3,2010
Nacip Raydan,80.0,2010
Nanuque,85.9,2010
Naque,86.3,2010
Natalândia,87.3,2010
Natércia,90.9,2010
Nazareno,92.0,2010
Nepomuceno,89.6,2010
Ninheira,69.2,2010
Nova Belém,78.4,2010
Nova Era,93.7,2010
Nova Lima,97.3,2010
Nova Módica,78.5,2010
Nova Ponte,92.0,2010
Nova Porteirinha,83.4,2010
Nova Resende,92.6,2010
Nova Serrana,95.5,2010
Novo Cruzeiro,75.8,2010
Novo Oriente de Minas,72.4,2010
Novorizonte,80.7,2010
Olaria,83.7,2010
Olhos-d'Água,84.0,2010
Olímpio Noronha,87.3,2010
Oliveira,94.3,2010
Oliveira Fortes,84.7,2010
Onça de Pitangui,90.1,2010
Oratórios,85.7,2010
Orizânia,85.7,2010
Ouro Branco,95.7,2010
Ouro Fino,92.0,2010
Ouro Preto,95.4,2010
Ouro Verde de Minas,75.5,2010
Padre Carvalho,76.4,2010
Padre Paraíso,80.0,2010
Paineiras,90.0,2010
Pains,93.2,2010
Pai Pedro,72.3,2010
Paiva,88.2,2010
Palma,89.7,2010
Palmópolis,73.4,2010
Papagaios,91.7,2010
Paracatu,93.1,2010
Pará de Minas,96.4,2010
Paraguaçu,93.3,2010
Paraisópolis,92.3,2010
Paraopeba,94.3,2010
Passabém,83.6,2010
Passa Quatro,94.7,2010
Passa Tempo,92.9,2010
Passa Vinte,87.7,2010
Passos,94.9,2010
Patis,79.5,2010
Patos de Minas,94.9,2010
Patrocínio,94.0,2010
Patrocínio do Muriaé,90.8,2010
Paula Cândido,91.0,2010
Paulistas,82.3,2010
Pavão,78.8,2010
Peçanha,82.3,2010
Pedra Azul,82.2,2010
Pedra Bonita,86.9,2010
Pedra do Anta,82.3,2010
Pedra do Indaiá,89.9,2010
Pedra Dourada,88.1,2010
Pedralva,92.0,2010
Pedras de Maria da Cruz,79.6,2010
Pedrinópolis,90.6,2010
Pedro Leopoldo,95.0,2010
Pedro Teixeira,89.6,2010
Pequeri,92.5,2010
Pequi,92.4,2010
Perdigão,93.7,2010
Perdizes,92.6,2010
Perdões,93.2,2010
Periquito,84.4,2010
Pescador,82.7,2010
Piau,87.1,2010
Piedade de Caratinga,84.3,2010
Piedade de Ponte Nova,85.6,2010
Piedade do Rio Grande,87.3,2010
Piedade dos Gerais,86.6,2010
Pimenta,92.1,2010
Pingo-d'Água,84.3,2010
Pintópolis,84.5,2010
Piracema,89.1,2010
Pirajuba,91.8,2010
