NOME_MUN,PROP_MENOS_DE_1_SM,PROP_1_A_2_SM,PROP_2_A_5_SM,PROP_5_A_10_SM,PROP_MAIS_DE_10_SM,ANO
Chapada do Norte,0.37960431076081713,0.12819687952388611,0.02581631011741998,0.0031365610423033617,0.00048254785266205565,2010
Chapada Gaúcha,0.38292937492751944,0.10390815261509916,0.03432680041748811,0.007653948741737214,0.003015191928563145,2010
Chiador,0.37854757929883137,0.20909849749582637,0.08514190317195326,0.017111853088480802,0.004173622704507512,2010
Cipotânea,0.5186156266386995,0.07428771193847229,0.025869603216220942,0.003321097710190526,0.0012235623142807202,2010
Claraval,0.2898701298701299,0.26025974025974025,0.07792207792207792,0.01896103896103896,0.00909090909090909,2010
Claro dos Poções,0.5303390838786437,0.10484830458060679,0.029892920880428317,0.005502676977989292,0.001784651992861392,2010
Cláudio,0.2987124852661166,0.275092936802974,0.10136911778039713,0.018814035724000363,0.005440203100915767,2010
Coimbra,0.4312633131246928,0.15156480419465837,0.063247583155825,0.014091430444043913,0.002293953793216451,2010
Coluna,0.505965005302227,0.079135737009544,0.029427359490986214,0.005965005302226935,0.0023860021208907743,2010
Comendador Gomes,0.2550575168583895,0.2629908766362555,0.09956366521221738,0.03609678698928996,0.007933359777865925,2010
Comercinho,0.48097477554510476,0.07980618497933589,0.02493943280604247,0.004845375516602537,0.0012825994014536127,2010
Conceição da Aparecida,0.38376957093342895,0.18572965220509144,0.08115214533285527,0.019242261264491453,0.006453926138400861,2010
Conceição das Pedras,0.41384995877988456,0.1339653751030503,0.04534212695795548,0.006183017312448475,0.00247320692497939,2010
Conceição das Alagoas,0.23456535205451168,0.21489779062564526,0.144435267396242,0.026171794342349782,0.007639892628536031,2010
Conceição de Ipanema,0.45099061522419187,0.1402502606882169,0.06386861313868614,0.010166840458811261,0.003910323253388947,2010
Conceição do Mato Dentro,0.45552956899432007,0.10818576678917474,0.039492148346140996,0.010157033077180086,0.0035415970598062143,2010
Conceição do Pará,0.38149898717083053,0.23857753769975243,0.07922574836821968,0.016205266711681297,0.005176682421787081,2010
Conceição do Rio Verde,0.45032751091703055,0.1360080058224163,0.05249272197962154,0.014465065502183407,0.005185589519650655,2010
Conceição dos Ouros,0.3783631655972082,0.22368569177079817,0.07700101317122594,0.014296971743780255,0.0029269390971518633,2010
Cônego Marinho,0.4185455161891846,0.07594507543651466,0.02051195117816579,0.0030513646380742497,0.0010171215460247499,2010
Confins,0.29243632121329965,0.227104802644371,0.12385767062026055,0.025860392766867586,0.00816643982111608,2010
Congonhal,0.3895835598564749,0.20180493639230185,0.09166032401870175,0.013917581820158748,0.004349244318799609,2010
Congonhas,0.2329549528020074,0.20164894252598878,0.15502449516071215,0.027864738917433386,0.006739156410562791,2010
Congonhas do Norte,0.4452766368688089,0.09712490939840542,0.0215027784489007,0.004348876540227108,0.001449625513409036,2010
Conquista,0.2869318181818182,0.22088068181818182,0.1454190340909091,0.022372159090909092,0.007457386363636364,2010
Conselheiro Lafaiete,0.25540400807523755,0.19291939534196662,0.15400068934954947,0.03468413018858634,0.011147766999852282,2010
Conselheiro Pena,0.3921734085754971,0.11818996888349771,0.058541216180581196,0.017984283529349717,0.0035863087389905596,2010
Consolação,0.4656437625083389,0.1754503002001334,0.07071380920613743,0.00600400266844563,0.00066711140760507,2010
Contagem,0.22721064752825237,0.23913134961016702,0.15599631208061393,0.037586937726191115,0.00858282898612822,2010
Coqueiral,0.45239282153539384,0.1388334995014955,0.04935194416749751,0.01321036889332004,0.0046111665004985045,2010
Coração de Jesus,0.5097127222982216,0.07054263565891473,0.025353397172822617,0.0062471500227998175,0.00168718650250798,2010
Cordisburgo,0.45055664702030124,0.1358218729535036,0.055402750491159135,0.01100196463654224,0.004453176162409954,2010
Cordislândia,0.42346061231510146,0.17784657722738217,0.054007567939456484,0.010663914688682491,0.003783969728242174,2010
Corinto,0.40526933229054646,0.12264150943396226,0.061491836934206665,0.01417538371297292,0.004497018281356927,2010
Coroaci,0.4358974358974359,0.11024511465040099,0.03716254377047329,0.008471704506946797,0.003049813622500847,2010
Coromandel,0.3506882355387366,0.20593005364494532,0.0884517819270595,0.0236619952592839,0.009231920821724124,2010
Coronel Fabriciano,0.2526180209441676,0.20019040152321219,0.1382203057624461,0.03315226521812174,0.008243265946127568,2010
Coronel Murta,0.49192193356598163,0.09086209124983843,0.02972728447718754,0.0034897246994959287,0.0007754943776657619,2010
Coronel Pacheco,0.36666666666666664,0.18143939393939393,0.08712121212121213,0.021212121212121213,0.004166666666666667,2010
Coronel Xavier Chaves,0.38669001751313486,0.1555166374781086,0.07285464098073555,0.017162872154115588,0.006654991243432574,2010
Córrego Danta,0.4350605652759085,0.18438761776581428,0.07469717362045761,0.014804845222072678,0.006056527590847914,2010
Córrego do Bom Jesus,0.45424739195231,0.15827123695976156,0.0661698956780924,0.01609538002980626,0.003278688524590164,2010
Córrego Fundo,0.36045130641330164,0.22486144101346,0.08828186856690419,0.006927949326999208,0.0009897070467141725,2010
Córrego Novo,0.5047223271628258,0.09104646769928221,0.02606724593879864,0.006044578768417076,0.00037778617302606723,2010
Couto de Magalhães de Minas,0.4159933129005294,0.112287545277236,0.03928670938980217,0.005572582892170521,0.0011145165784341043,2010
Crisólita,0.5045063088323654,0.0733026236731424,0.024033647105948328,0.005007009813739235,0.00340476667334268,2010
Cristais,0.4225859584105415,0.21618282890673254,0.058781140621782996,0.01626518427012559,0.008235536339304097,2010
Cristália,0.3250603997364375,0.08499890182297386,0.02086536349659565,0.001976718647045904,0.0008785416209092906,2010
Cristiano Otoni,0.3603582370963941,0.16686306858354938,0.07494697148244167,0.01343389111477728,0.0028281876031110063,2010
Cristina,0.4686234817813765,0.12438146648672964,0.04982006297795771,0.013045434098065677,0.0028115159694107063,2010
Crucilândia,0.46719729860106124,0.1587071876507477,0.05113362276893391,0.010371442354076218,0.00241196333815726,2010
Cruzeiro da Fortaleza,0.3756053268765133,0.16616222760290558,0.0789951573849879,0.012711864406779662,0.008171912832929782,2010
Cruzília,0.4251317963647809,0.15736879376819576,0.06294751750727831,0.01266818789833976,0.00448501062239358,2010
Cuparaque,0.41506085192697767,0.10927991886409737,0.051470588235294115,0.011663286004056795,0.0017748478701825558,2010
Curral de Dentro,0.43977292886287034,0.07326592158949796,0.027851694163562177,0.0037253858435337944,0.0010643959552953698,2010
Curvelo,0.39596019838031266,0.16094858434302217,0.07081423818193232,0.02170569401720133,0.008145520748320673,2010
Datas,0.46589094227697925,0.0999315537303217,0.03285420944558522,0.005703855806525211,0.0009126169290440338,2010
Delfim Moreira,0.3916366258111031,0.14722422494592646,0.06633020908435472,0.0167267483777938,0.004325883201153569,2010
Delfinópolis,0.3052434456928839,0.2560435818862785,0.09159005788219271,0.018386108273748723,0.008682328907048007,2010
Delta,0.18725519734859897,0.27402832178366976,0.1411569749924676,0.010695992768906298,0.0018077734257306419,2010
Descoberto,0.3904191616766467,0.20191616766467066,0.06347305389221557,0.0081437125748503,0.002155688622754491,2010
Desterro de Entre Rios,0.4582389122693428,0.12156037552606021,0.03820006474587245,0.006312722563936549,0.0009711880867594691,2010
Desterro do Melo,0.507496251874063,0.11956521739130435,0.04235382308845577,0.0029985007496251873,0.0037481259370314842,2010
Diamantina,0.3886741595890759,0.12538778416314905,0.07386970452118191,0.028810456186746682,0.010145959416162335,2010
Diogo de Vasconcelos,0.4821644498186215,0.09915356711003627,0.02750906892382104,0.003929866989117291,0.0015114873035066505,2010
Dionísio,0.41028989292243406,0.15878819535126665,0.05954557325672499,0.0116218333768608,0.0011752415774353617,2010
Divinésia,0.4135096497498213,0.19049320943531092,0.06433166547533953,0.01322373123659757,0.003931379556826304,2010
Divino,0.43223145660188717,0.10360557395488346,0.043116915578329064,0.011185402736986814,0.002374554770980441,2010
Divino das Laranjeiras,0.42765806298839687,0.1349751361591286,0.04830689083589865,0.008761543926118873,0.003551977267345489,2010
Divinolândia de Minas,0.45127512244553286,0.13021449079547373,0.04610707650734673,0.006586725215335248,0.0016889039013680122,2010
Divinópolis,0.2399762256634325,0.2589314399537364,0.1476311336717428,0.03826918546124355,0.0136809526869284,2010
Divisa Alegre,0.4588385449904276,0.09678791746436928,0.040416932567538824,0.009359710699851096,0.0029780897681344395,2010
Divisa Nova,0.4397293972939729,0.17876178761787617,0.05740057400574006,0.011890118901189012,0.0018450184501845018,2010
Divisópolis,0.5363216875411997,0.07593935398813448,0.025444957152274225,0.004746209624258405,0.0003955174686882004,2010
Dom Bosco,0.4273794808405439,0.14276885043263288,0.048207663782447466,0.011742892459826947,0.002781211372064277,2010
Dom Cavati,0.41483942414174974,0.14706533776301217,0.08150609080841639,0.011738648947951274,0.0026578073089701,2010
Dom Joaquim,0.45693468644288315,0.11241217798594848,0.04865990111891751,0.008326827998959146,0.004163413999479573,2010
Dom Silvério,0.4557588805166846,0.16340150699677072,0.06221743810548978,0.017222820236813777,0.004090419806243272,2010
Dom Viçoso,0.46515151515151515,0.11704545454545455,0.04053030303030303,0.006060606060606061,0.0022727272727272726,2010
Dona Euzébia,0.4501342539317223,0.19121595703874184,0.07019562715765247,0.015918680475642502,0.003260452627541235,2010
Dores de Campos,0.4980276134122288,0.16321499013806706,0.05719921104536489,0.010601577909270217,0.0033284023668639054,2010
Dores de Guanhães,0.3879719647298214,0.129550079131811,0.0420529052679177,0.006330544879041375,0.0022609088853719197,2010
Dores do Indaiá,0.40915086562242375,0.20206100577081615,0.08252267106347898,0.025968672712283595,0.008821104699093158,2010
Dores do Turvo,0.4725077081192189,0.09969167523124357,0.03905447070914697,0.008221993833504625,0.0020554984583761563,2010
Doresópolis,0.4184168012924071,0.20516962843295639,0.05977382875605816,0.012924071082390954,0.0032310177705977385,2010
Douradoquara,0.3849502487562189,0.20771144278606965,0.09017412935323384,0.014303482587064677,0.006218905472636816,2010
Durandé,0.4562055591467356,0.14091790562378798,0.041693600517129926,0.008241758241758242,0.003393665158371041,2010
Elói Mendes,0.33013908917523377,0.18886356235753826,0.08317439642740848,0.018188584453644695,0.005628692375680327,2010
Engenheiro Caldas,0.39295612009237874,0.13290993071593535,0.05034642032332563,0.009122401847575057,0.0031177829099307158,2010
Engenheiro Navarro,0.4514257294429708,0.11306366047745359,0.03431697612732096,0.003812997347480106,0.0009946949602122016,2010
Entre Folhas,0.41962281095644366,0.12281095644364616,0.0406376290974405,0.009878760664571173,0.001347103726986978,2010
Entre Rios de Minas,0.38173208122642266,0.1519383578136287,0.07215667389036039,0.016614495545388876,0.005538165181796292,2010
Ervália,0.4888860002599766,0.11367476927076563,0.04738073573378396,0.01065904068633823,0.0027947484726374627,2010
Esmeraldas,0.34289289189886996,0.19659986892018033,0.06216361144763759,0.010585688466961927,0.004150860956088261,2010
Espera Feliz,0.43582503337098266,0.12732313379197044,0.059451689085121676,0.01694219119006058,0.00410719786425711,2010
Espinosa,0.4977025025633236,0.08487449208217826,0.0266965404625375,0.005658299472145217,0.0017088823909163406,2010
Espírito Santo do Dourado,0.42456676860346587,0.22553516819571864,0.059887869520897044,0.009938837920489297,0.0030581039755351682,2010
Estiva,0.4148467030659387,0.23078538429231416,0.07129357412851743,0.010919781604367913,0.0028349433011339775,2010
Estrela Dalva,0.4451672862453532,0.15566914498141263,0.07388475836431227,0.01486988847583643,0.005111524163568773,2010
