ANO,SIGLA_UF,COD_MUN,REMUNERACAO_DEZEMBRO,REMUNERACAO_MEDIA,VINCULOS_ATIVOS,VINCULOS_CLT,VINCULOS_ESTATUTARIOS,NUM_FIRMAS
2002,MG,3122306,563.7858222013917,513.478438155325,37506.0,34589.0,2917.0,10509.0
2002,MG,3122355,449.5453200883004,415.39955734406425,408.0,244.0,164.0,75.0
2002,MG,3122405,387.9194305239181,388.0387250000001,420.0,213.0,207.0,218.0
2002,MG,3122454,559.17043956044,409.27006410256433,277.0,103.0,174.0,87.0
2002,MG,3122470,440.6830718954246,494.1421463414636,156.0,36.0,120.0,91.0
2002,MG,3122504,394.7387788778876,380.89813829787226,308.0,115.0,193.0,174.0
2002,MG,3122603,493.0789583333335,464.2228313253013,147.0,82.0,65.0,76.0
2002,MG,3122702,422.1075040783033,417.0603174603178,609.0,466.0,143.0,211.0
2002,MG,3122801,371.57186440677975,442.3767272727272,239.0,86.0,153.0,75.0
2002,MG,3122900,329.61159793814454,310.43713884993,585.0,366.0,219.0,198.0
2002,MG,3123007,341.3638857501571,331.2442040185466,1517.0,1377.0,140.0,375.0
2002,MG,3123106,465.2142857142859,481.0589320388349,412.0,227.0,185.0,83.0
2002,MG,3123205,396.6059136420527,386.2832325477997,1428.0,1118.0,310.0,918.0
2002,MG,3123304,421.955537190083,433.2430324909746,155.0,79.0,76.0,123.0
2002,MG,3123403,543.2230687830687,511.9009623430961,189.0,57.0,132.0,51.0
2002,MG,3123502,474.8242780748664,467.4129702970296,187.0,60.0,127.0,45.0
2002,MG,3123528,353.2839935064932,299.552260536398,253.0,109.0,144.0,133.0
2002,MG,3123601,640.6245928030296,419.2882737335036,3111.0,2720.0,391.0,1246.0
2002,MG,3123700,392.6233291925464,340.9350417362273,713.0,526.0,187.0,334.0
2002,MG,3123809,330.1015342960287,305.95735336194593,553.0,382.0,171.0,194.0
2002,MG,3123858,341.79650246305414,339.2643771043772,217.0,53.0,164.0,82.0
2002,MG,3123908,412.2370571955722,420.5871868289189,1094.0,795.0,299.0,629.0
2002,MG,3124005,348.9510692464356,327.4920595690747,954.0,681.0,273.0,370.0
2002,MG,3124104,460.13581376945336,460.9402047244103,3744.0,2871.0,873.0,1361.0
2002,MG,3124203,403.3183509513745,390.9424961160018,1419.0,883.0,536.0,761.0
2002,MG,3124302,333.6637240232754,324.6040492735313,983.0,425.0,558.0,935.0
2002,MG,3124401,392.0572594752188,384.3284848484846,345.0,149.0,196.0,79.0
2002,MG,3124500,423.6896491228071,423.9775603864734,629.0,620.0,9.0,322.0
2002,MG,3124609,357.3774917491744,349.6107816711592,277.0,145.0,132.0,109.0
2002,MG,3124708,457.6551669941063,469.1527299703265,461.0,294.0,167.0,180.0
2002,MG,3124807,423.4136251541307,383.2636002886,765.0,508.0,257.0,228.0
2002,MG,3124906,372.9283720930229,326.3000528634361,895.0,528.0,367.0,423.0
2002,MG,3125002,385.20554216867487,388.4291439688717,164.0,164.0,0.0,150.0
2002,MG,3125101,781.3438477282018,686.4861734424514,4758.0,4295.0,463.0,1079.0
2002,MG,3125200,434.62415019762864,336.88887755102,257.0,141.0,116.0,141.0
2002,MG,3125309,433.1374166666672,398.29751689189214,501.0,321.0,180.0,153.0
2002,MG,3125408,373.0234926470588,356.5252531645571,292.0,55.0,237.0,100.0
2002,MG,3125507,318.8392694063928,300.98825327510923,225.0,28.0,197.0,60.0
2002,MG,3125606,282.080813559322,276.62800000000004,297.0,123.0,174.0,160.0
2002,MG,3125705,460.0925863236288,459.85590632318497,1437.0,1046.0,391.0,486.0
2002,MG,3125804,361.9206884057972,363.9219708029197,236.0,98.0,138.0,78.0
2002,MG,3125903,393.4967961165048,407.4761958762893,676.0,476.0,200.0,343.0
2002,MG,3125952,375.21605597964384,367.90145648312586,436.0,199.0,237.0,205.0
2002,MG,3126000,414.15117096018736,386.5194682675816,838.0,579.0,259.0,248.0
2002,MG,3126109,415.71730946882207,381.8994191871169,11040.0,10476.0,564.0,3157.0
2002,MG,3126208,405.9473134328359,353.1483553141966,259.0,253.0,6.0,173.0
2002,MG,3126307,1163.2721071428562,1094.757858391608,836.0,667.0,169.0,158.0
2002,MG,3126406,573.2928354430378,410.6863872255491,328.0,204.0,124.0,113.0
2002,MG,3126505,393.553151260504,461.1628244274811,235.0,57.0,178.0,134.0
2002,MG,3126604,315.871204013378,278.3066514806378,284.0,145.0,139.0,149.0
2002,MG,3126703,317.21046707503785,315.6869768664569,1347.0,856.0,491.0,880.0
2002,MG,3126752,287.8947668393782,284.7519248826292,198.0,11.0,187.0,43.0
2002,MG,3126802,376.92323033707873,330.2120047732699,325.0,143.0,182.0,115.0
2002,MG,3126901,379.62902730375424,362.1388770053477,580.0,343.0,237.0,261.0
2002,MG,3126950,409.089589041096,417.74597560975633,145.0,13.0,132.0,12.0
2002,MG,3127008,791.6169506726451,607.7194050529746,889.0,883.0,6.0,409.0
2002,MG,3127057,315.0630685920576,305.21554054054053,185.0,21.0,164.0,59.0
2002,MG,3127073,189.55728624535303,210.41668874172183,184.0,9.0,175.0,59.0
2002,MG,3127107,447.2670527264539,427.3155951739733,6625.0,6528.0,97.0,2421.0
2002,MG,3127206,422.5818225419661,384.3871230502599,375.0,281.0,94.0,133.0
2002,MG,3127305,330.757558685446,354.80111510791363,646.0,317.0,329.0,265.0
2002,MG,3127339,368.0018245614033,291.5141144414167,314.0,39.0,275.0,41.0
2002,MG,3127354,224.94718446601945,230.26039062500016,250.0,39.0,211.0,45.0
2002,MG,3127370,396.500132450331,436.2535393258426,149.0,15.0,134.0,72.0
2002,MG,3127388,387.5925943396225,370.0564391691393,385.0,302.0,83.0,161.0
2002,MG,3127404,584.0678892733565,475.1521448467968,285.0,176.0,109.0,167.0
2002,MG,3127503,388.1575,463.847389380531,94.0,8.0,86.0,43.0
2002,MG,3127602,362.1804261796036,347.73599107711925,1312.0,921.0,391.0,428.0
2002,MG,3127701,545.464841769035,497.1515625983686,39826.0,33855.0,5971.0,10670.0
2002,MG,3127800,365.5528928199791,329.7884518565133,1015.0,557.0,458.0,404.0
2002,MG,3127909,456.2963203463203,452.3464777327936,231.0,14.0,217.0,60.0
2002,MG,3128006,406.2152730646873,435.4788724480253,3721.0,3015.0,706.0,1198.0
