NOME_MUN,EXP_VIDA_AO_NASCER,MORTALIDADE_INFANTIL,IDHM,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDU,ANO,REND_MEDIO_FORMAL,TRANSF_PER_CAPITA_BOLSA_FAMILIA
Divinópolis,75.63,14.59,0.764,0.753,0.844,0.702,2010,,
Divisa Alegre,68.39,27.8,0.608,0.603,0.723,0.515,2010,,
Divisa Nova,73.03,18.5,0.67,0.66,0.801,0.57,2010,,
Divisópolis,73.1,18.4,0.609,0.577,0.802,0.489,2010,,
Dom Bosco,73.88,17.1,0.673,0.627,0.815,0.597,2010,,
Dom Cavati,72.03,20.3,0.688,0.66,0.784,0.63,2010,,
Dom Joaquim,74.12,16.7,0.622,0.61,0.819,0.482,2010,,
Dom Silvério,75.8,14.1,0.709,0.661,0.847,0.636,2010,,
Dom Viçoso,74.12,16.7,0.687,0.617,0.819,0.641,2010,,
Dona Eusébia,75.45,14.6,0.701,0.684,0.841,0.598,2010,,
Dores de Campos,74.4,16.3,0.686,0.671,0.823,0.585,2010,,
Dores de Guanhães,74.26,16.5,0.636,0.612,0.821,0.512,2010,,
Dores do Indaiá,75.4,14.7,0.719,0.71,0.84,0.623,2010,,
Dores do Turvo,74.75,15.7,0.629,0.613,0.829,0.49,2010,,
Doresópolis,77.11,12.3,0.692,0.652,0.869,0.585,2010,,
Douradoquara,75.84,14.1,0.706,0.704,0.847,0.591,2010,,
Durandé,75.54,14.5,0.645,0.626,0.842,0.508,2010,,
Elói Mendes,75.26,14.9,0.685,0.688,0.838,0.558,2010,,
Engenheiro Caldas,73.91,17.1,0.644,0.632,0.815,0.518,2010,,
Engenheiro Navarro,72.44,19.6,0.655,0.599,0.791,0.594,2010,,
Entre Folhas,72.5,19.5,0.634,0.617,0.792,0.521,2010,,
Entre Rios de Minas,73.14,18.4,0.672,0.673,0.802,0.563,2010,,
Ervália,74.7,15.8,0.625,0.64,0.828,0.46,2010,,
Esmeraldas,74.31,16.4,0.671,0.649,0.822,0.567,2010,,
Espera Feliz,75.77,14.2,0.663,0.663,0.846,0.52,2010,,
Espinosa,73.26,18.2,0.627,0.582,0.804,0.526,2010,,
Espírito Santo do Dourado,75.81,14.1,0.685,0.66,0.847,0.576,2010,,
Estiva,75.9,14.0,0.691,0.679,0.848,0.573,2010,,
Estrela Dalva,77.04,12.4,0.71,0.719,0.867,0.574,2010,,
Estrela do Indaiá,77.49,11.8,0.676,0.679,0.875,0.521,2010,,
Estrela do Sul,75.4,14.7,0.696,0.694,0.84,0.579,2010,,
Eugenópolis,75.77,14.2,0.675,0.66,0.846,0.551,2010,,
Ewbank da Câmara,74.37,16.3,0.676,0.625,0.823,0.601,2010,,
Extrema,75.95,13.9,0.732,0.729,0.849,0.633,2010,,
Fama,76.77,12.7,0.717,0.7,0.863,0.61,2010,,
Faria Lemos,73.0,18.6,0.687,0.678,0.8,0.598,2010,,
Felício dos Santos,72.61,19.3,0.606,0.568,0.794,0.494,2010,,
Felisburgo,69.66,25.0,0.583,0.577,0.744,0.462,2010,,
Felixlândia,73.9,17.1,0.648,0.651,0.815,0.514,2010,,
Fernandes Tourinho,73.43,17.9,0.646,0.608,0.807,0.55,2010,,
Ferros,74.24,16.5,0.603,0.625,0.821,0.428,2010,,
Fervedouro,72.73,19.1,0.58,0.583,0.796,0.42,2010,,
Florestal,75.69,14.3,0.724,0.728,0.845,0.617,2010,,
Formiga,77.43,11.8,0.755,0.729,0.874,0.676,2010,,
Formoso,75.04,15.3,0.64,0.616,0.834,0.51,2010,,
Fortaleza de Minas,73.31,18.1,0.67,0.683,0.805,0.546,2010,,
Fortuna de Minas,75.7,14.3,0.696,0.651,0.845,0.613,2010,,
Francisco Badaró,72.57,19.4,0.622,0.575,0.793,0.527,2010,,
Francisco Dumont,72.8,19.0,0.625,0.596,0.797,0.513,2010,,
Franciscópolis,73.14,18.4,0.603,0.581,0.802,0.471,2010,,
Francisco Sá,73.48,17.8,0.654,0.605,0.808,0.572,2010,,
Frei Gaspar,72.96,18.7,0.59,0.569,0.799,0.452,2010,,
Frei Inocêncio,71.72,20.9,0.648,0.624,0.779,0.559,2010,,
Frei Lagonegro,69.96,24.4,0.543,0.519,0.749,0.412,2010,,
Fronteira dos Vales,73.8,17.3,0.592,0.556,0.813,0.46,2010,,
Fronteira,77.28,12.0,0.684,0.693,0.871,0.53,2010,,
Fruta de Leite,72.5,19.5,0.544,0.548,0.792,0.37,2010,,
Frutal,76.92,12.5,0.73,0.73,0.865,0.615,2010,,
Funilândia,75.66,14.3,0.655,0.612,0.844,0.545,2010,,
Galiléia,72.71,19.1,0.654,0.645,0.795,0.546,2010,,
Gameleiras,72.74,19.0,0.65,0.559,0.796,0.618,2010,,
Glaucilândia,73.72,17.4,0.679,0.579,0.812,0.667,2010,,
