COD_MUN,ANO,VINCULOS_MEDIA
3161650,2012,236.58333333333334
3161650,2013,237.58333333333334
3161650,2014,251.75
3161650,2015,284.3333333333333
3161650,2016,297.25
3161650,2017,298.75
3161650,2018,292.8333333333333
3161650,2019,281.8333333333333
3161650,2020,281.25
3161650,2021,299.3333333333333
3161650,2022,318.5833333333333
3161650,2023,338.1666666666667
3161650,2024,333.0833333333333
3161650,2025,326.0
3161700,2007,1135.8333333333333
3161700,2008,1209.6666666666667
3161700,2009,1248.5
3161700,2010,1202.75
3161700,2011,1169.25
3161700,2012,1180.0833333333333
3161700,2013,1271.0833333333333
3161700,2014,1278.4166666666667
3161700,2015,1270.8333333333333
3161700,2016,1220.4166666666667
3161700,2017,1203.9166666666667
3161700,2018,1292.0
3161700,2019,1375.0833333333333
3161700,2020,1318.75
3161700,2021,1388.5
3161700,2022,1505.0833333333333
3161700,2023,1523.8333333333333
3161700,2024,1494.3333333333333
3161700,2025,1459.4166666666667
3161809,2007,1862.1666666666667
3161809,2008,2012.3333333333333
3161809,2009,1924.0
3161809,2010,2048.9166666666665
3161809,2011,2155.3333333333335
3161809,2012,2242.0833333333335
3161809,2013,2267.5
3161809,2014,2182.8333333333335
3161809,2015,2088.6666666666665
3161809,2016,2008.5833333333333
3161809,2017,2013.4166666666667
3161809,2018,2073.3333333333335
3161809,2019,2086.8333333333335
3161809,2020,2013.6666666666667
3161809,2021,2072.5
3161809,2022,2226.6666666666665
3161809,2023,2248.5833333333335
3161809,2024,2249.4166666666665
3161809,2025,2268.8333333333335
3161908,2007,1616.0833333333333
3161908,2008,1699.1666666666667
3161908,2009,1626.1666666666667
3161908,2010,1442.9166666666667
3161908,2011,1534.3333333333333
3161908,2012,1939.5833333333333
3161908,2013,2142.25
3161908,2014,2282.9166666666665
3161908,2015,1655.6666666666667
3161908,2016,1359.0833333333333
3161908,2017,1364.5833333333333
3161908,2018,1329.75
3161908,2019,1255.75
3161908,2020,1674.0
3161908,2021,3186.0833333333335
3161908,2022,2529.1666666666665
3161908,2023,1969.4166666666667
3161908,2024,2670.0833333333335
3161908,2025,2617.3333333333335
3162005,2007,3957.0833333333335
3162005,2008,4119.0
3162005,2009,4328.5
3162005,2010,4421.333333333333
3162005,2011,4669.166666666667
3162005,2012,4947.416666666667
3162005,2013,5028.083333333333
3162005,2014,5031.916666666667
3162005,2015,5210.0
3162005,2016,5092.666666666667
3162005,2017,4849.833333333333
3162005,2018,4820.5
3162005,2019,4956.083333333333
3162005,2020,4911.75
3162005,2021,5229.666666666667
3162005,2022,5541.083333333333
3162005,2023,5993.666666666667
3162005,2024,6205.0
3162005,2025,6164.75
3162104,2007,4393.25
3162104,2008,4325.0
3162104,2009,4543.666666666667
3162104,2010,5037.416666666667
3162104,2011,5589.0
3162104,2012,5961.083333333333
3162104,2013,6356.833333333333
3162104,2014,6615.5
3162104,2015,6787.0
3162104,2016,6986.083333333333
3162104,2017,7379.583333333333
3162104,2018,7736.25
3162104,2019,7769.166666666667
3162104,2020,7961.583333333333
3162104,2021,9002.75
3162104,2022,9626.166666666666
3162104,2023,9187.083333333334
3162104,2024,9813.833333333334
3162104,2025,9948.916666666666
3162203,2007,1020.8333333333334
3162203,2008,1021.1666666666666
3162203,2009,988.9166666666666
3162203,2010,865.9166666666666
3162203,2011,898.6666666666666
3162203,2012,953.5
3162203,2013,998.25
3162203,2014,1020.0
3162203,2015,1025.3333333333333
3162203,2016,1027.8333333333333
3162203,2017,1014.0
3162203,2018,1006.0833333333334
3162203,2019,1033.3333333333333
3162203,2020,1066.25
3162203,2021,1149.8333333333333
3162203,2022,1234.5833333333333
3162203,2023,1274.8333333333333
3162203,2024,1363.3333333333333
3162203,2025,1419.6666666666667
3162252,2007,284.5
3162252,2008,287.25
3162252,2009,296.5833333333333
3162252,2010,321.1666666666667
3162252,2011,334.75
3162252,2012,343.1666666666667
3162252,2013,301.9166666666667
3162252,2014,297.0
3162252,2015,285.5833333333333
3162252,2016,297.0833333333333
3162252,2017,313.0833333333333
3162252,2018,315.0
3162252,2019,299.0833333333333
3162252,2020,314.8333333333333
3162252,2021,324.3333333333333
3162252,2022,327.8333333333333
3162252,2023,347.9166666666667
3162252,2024,341.6666666666667
3162252,2025,333.5
3162302,2007,234.91666666666666
3162302,2008,244.0
3162302,2009,248.33333333333334
3162302,2010,245.33333333333334
3162302,2011,258.8333333333333
3162302,2012,268.9166666666667
3162302,2013,268.3333333333333
3162302,2014,276.3333333333333
3162302,2015,285.5
3162302,2016,293.0
3162302,2017,289.9166666666667
3162302,2018,271.0833333333333
3162302,2019,280.25
