,Nome,Codigo,Grupo 1 controle,Grupo 1 tratamento
399,Patis,314795.0,0.0,0
400,Felício dos Santos,312540.0,0.0,0
401,Cana Verde,311190.0,0.0,0
402,Rosário da Limeira,315645.0,0.0,0
403,Cristina,312050.0,0.0,0
404,Inhapim,313090.0,0.0,0
405,Urucuia,317052.0,0.0,0
406,Rio Espera,315520.0,0.0,0
407,Olaria,314540.0,0.0,0
408,Inimutaba,313110.0,0.0,0
409,Santa Helena de Minas,315765.0,0.0,0
410,Divino,312200.0,0.0,0
411,Sobrália,316770.0,0.0,0
412,Frutal,312710.0,0.0,0
413,Belo Vale,310640.0,0.0,0
414,Campo do Meio,311130.0,0.0,0
415,Fruta de Leite,312707.0,0.0,0
416,Coimbra,311670.0,0.0,0
417,São José do Goiabal,316340.0,0.0,0
418,Soledade de Minas,316780.0,0.0,0
419,Porto Firme,315230.0,0.0,0
420,Brasópolis,310890.0,0.0,0
421,Martins Soares,314053.0,0.0,0
422,Coluna,311680.0,0.0,0
423,Gonzaga,312750.0,0.0,0
424,Reduto,315415.0,0.0,0
425,Igaratinga,313020.0,0.0,0
426,Joaíma,313600.0,0.0,0
427,São Pedro do Suaçuí,316410.0,0.0,0
428,Tarumirim,316840.0,0.0,0
429,Catuti,311547.0,0.0,0
430,Novo Oriente de Minas,314535.0,0.0,0
431,Corinto,311910.0,0.0,0
432,Ibiracatu,312965.0,0.0,0
433,Rubim,315660.0,0.0,0
434,Fernandes Tourinho,312580.0,0.0,0
435,José Raydan,313655.0,0.0,0
436,Malacacheta,313920.0,0.0,0
437,Piranguçu,315090.0,0.0,0
438,Caraí,311300.0,0.0,0
439,Carmo de Minas,311410.0,0.0,0
440,Alpinópolis,310190.0,0.0,0
441,Virgolândia,317190.0,0.0,0
442,Santo Antônio do Jacinto,316030.0,0.0,0
443,Tabuleiro,316790.0,0.0,0
444,Bueno Brandão,310910.0,0.0,0
445,Amparo do Serra,310250.0,0.0,0
446,Antônio Dias,310300.0,0.0,0
447,Comercinho,311700.0,0.0,0
448,Pedras de Maria da Cruz,314915.0,0.0,0
449,Dona Eusébia,312290.0,0.0,0
450,Piau,315010.0,0.0,0
451,Mutum,314400.0,0.0,0
452,São João da Ponte,316240.0,0.0,0
453,Eugenópolis,312490.0,0.0,0
454,Congonhas do Norte,311810.0,0.0,0
455,Patrocínio,314810.0,0.0,0
456,Divisópolis,312245.0,0.0,0
457,Palmópolis,314675.0,0.0,0
458,Santa Cruz de Salinas,315737.0,0.0,0
459,Santana do Garambéu,315870.0,0.0,0
460,Sem-Peixe,316556.0,0.0,0
461,Rio do Prado,315510.0,0.0,0
462,Pratápolis,315290.0,0.0,0
463,São Tiago,316500.0,0.0,0
464,Bias Fortes,310680.0,0.0,0
465,Rio Manso,315530.0,0.0,0
466,Galiléia,312730.0,0.0,0
467,Abre Campo,310030.0,0.0,0
468,São Félix de Minas,316105.0,0.0,0
469,Manga,313930.0,0.0,0
470,Santa Rita de Minas,315935.0,0.0,0
471,Felisburgo,312560.0,0.0,0
472,Campo Azul,311115.0,0.0,0
473,Lima Duarte,313860.0,0.0,0
474,Conceição de Ipanema,311740.0,0.0,0
475,Divinésia,312190.0,0.0,0
476,Oratórios,314585.0,0.0,0
